"索引","核酸提取编号","华大编号","提取日期","样本类型","核酸类型","样本体积(ml)/质量(mg)","提取方法","浓度(ng/ul)","体积(ul)","冰箱位置","孔板号","孔位","提取总量(ng)","成功建库使用量(ng)","失败建库使用量(ng)","科研项目使用量(ng)","其他使用量(ng)","剩余量(ng)","备注","上次修改时间","创建时间"
"1951","20P7989248","20P7989248","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.412","48","无","无","无","19.776","0","0","0","0","19.776","无","2020/08/20 06:29","2020/08/20 06:29"
"1952","20P7989247","20P7989247","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.668","48","无","无","无","32.064","0","0","0","0","32.064","无","2020/08/20 06:29","2020/08/20 06:29"
"1953","20P7989246","20P7989246","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.616","48","无","无","无","29.568","0","0","0","0","29.568","无","2020/08/20 06:29","2020/08/20 06:29"
"1954","20P7989245","20P7989245","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.53","48","无","无","无","25.44","0","0","0","0","25.44","无","2020/08/20 06:29","2020/08/20 06:29"
"1955","20P7989244","20P7989244","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.764","48","无","无","无","36.672","0","0","0","0","36.672","无","2020/08/20 06:29","2020/08/20 06:29"
"1956","20P7989243","20P7989243","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.582","48","无","无","无","27.936","0","0","0","0","27.936","无","2020/08/20 06:29","2020/08/20 06:29"
"1957","20P7989242","20P7989242","2000-01-01","P","cfDNA","4","南科手工提取20200604","1.4","48","无","无","无","67.2","0","0","0","0","67.2","无","2020/08/20 06:29","2020/08/20 06:29"
"1958","20P7989241","20P7989241","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.574","48","无","无","无","27.552","0","0","0","0","27.552","无","2020/08/20 06:29","2020/08/20 06:29"
"1959","20P7989240","20P7989240","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.892","48","无","无","无","42.816","0","0","0","0","42.816","无","2020/08/20 06:29","2020/08/20 06:29"
"1960","20P7989239","20P7989239","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.706","48","无","无","无","33.888","0","0","0","0","33.888","无","2020/08/20 06:29","2020/08/20 06:29"
"1961","20P7989238","20P7989238","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.368","48","无","无","无","17.664","0","0","0","0","17.664","无","2020/08/20 06:29","2020/08/20 06:29"
"1962","20P7989237","20P7989237","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.596","48","无","无","无","28.608","0","0","0","0","28.608","无","2020/08/20 06:29","2020/08/20 06:29"
"1963","20P7989236","20P7989236","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.658","48","无","无","无","31.584","0","0","0","0","31.584","无","2020/08/20 06:29","2020/08/20 06:29"
"1964","20P7989235","20P7989235","2000-01-01","P","cfDNA","4","南科手工提取20200604","0.506","48","无","无","无","24.288","0","0","0","0","24.288","无","2020/08/20 06:29","2020/08/20 06:29"
"1965","20P4396017","20P4396017","2000-01-01","P","cfDNA","1.5","南科手工提取","0.222","30","无","无","无","6.66","0","0","0","0","6.66","无","2020/08/20 06:30","2020/08/20 06:30"
"1966","20P4396018","20P4396018","2000-01-01","P","cfDNA","1.8","南科手工提取","0.176","30","无","无","无","5.28","0","0","0","0","5.28","无","2020/08/20 06:30","2020/08/20 06:30"
"1967","20P4396019","20P4396019","2000-01-01","P","cfDNA","1.5","南科手工提取","0.1","30","无","无","无","3","0","0","0","0","3","无","2020/08/20 06:30","2020/08/20 06:30"
"1968","20P4396020","20P4396020","2000-01-01","P","cfDNA","2","南科手工提取","0.12","30","无","无","无","3.6","0","0","0","0","3.6","无","2020/08/20 06:30","2020/08/20 06:30"
"1969","20P4396021","20P4396021","2000-01-01","P","cfDNA","1.8","南科手工提取","0.208","30","无","无","无","6.24","0","0","0","0","6.24","无","2020/08/20 06:30","2020/08/20 06:30"
"1970","20P4396022","20P4396022","2000-01-01","P","cfDNA","1.5","南科手工提取","0.15","30","无","无","无","4.5","0","0","0","0","4.5","无","2020/08/20 06:30","2020/08/20 06:30"
"1971","20P4396023","20P4396023","2000-01-01","P","cfDNA","1.5","南科手工提取","0.06","30","无","无","无","1.8","0","0","0","0","1.8","无","2020/08/20 06:30","2020/08/20 06:30"
"1972","20P4396024","20P4396024","2000-01-01","P","cfDNA","1.5","南科手工提取","2100","9999","无","无","无","20997900","0","0","0","0","20997900","无","2020/08/20 06:30","2020/08/20 06:30"
"1973","20P4396025","20P4396025","2000-01-01","P","cfDNA","1.6","南科手工提取","2100","9999","无","无","无","20997900","0","0","0","0","20997900","无","2020/08/20 06:30","2020/08/20 06:30"
"1974","20P8180674","20P8180674","2000-01-01","P","cfDNA","1.9","南科手工提取20200506","0.116","25","无","无","无","2.9","0","0","0","0","2.9","无","2020/08/20 06:30","2020/08/20 06:30"
"1975","20P8180675","20P8180675","2000-01-01","P","cfDNA","1.6","南科手工提取20200506","0.134","25","无","无","无","3.35","0","0","0","0","3.35","无","2020/08/20 06:30","2020/08/20 06:30"
"1976","20P8180676","20P8180676","2000-01-01","P","cfDNA","2","南科手工提取20200506","0.222","25","无","无","无","5.55","0","0","0","0","5.55","无","2020/08/20 06:30","2020/08/20 06:30"
"1977","20P8180677","20P8180677","2000-01-01","P","cfDNA","2.3","南科手工提取20200506","0.122","25","无","无","无","3.05","0","0","0","0","3.05","无","2020/08/20 06:30","2020/08/20 06:30"
"1978","20P8180678","20P8180678","2000-01-01","P","cfDNA","2.4","南科手工提取20200506","0.152","25","无","无","无","3.8","0","0","0","0","3.8","无","2020/08/20 06:30","2020/08/20 06:30"
"1979","20P8180679","20P8180679","2000-01-01","P","cfDNA","1.6","南科手工提取20200506","0.436","25","无","无","无","10.9","0","0","0","0","10.9","无","2020/08/20 06:30","2020/08/20 06:30"
"1980","20P8180680","20P8180680","2000-01-01","P","cfDNA","2","南科手工提取20200506","0.228","25","无","无","无","5.7","0","0","0","0","5.7","无","2020/08/20 06:30","2020/08/20 06:30"
"1981","20P8180681","20P8180681","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.158","25","无","无","无","3.95","0","0","0","0","3.95","无","2020/08/20 06:30","2020/08/20 06:30"
"1982","20P8180682","20P8180682","2000-01-01","P","cfDNA","2.4","南科手工提取20200506","0.216","25","无","无","无","5.4","0","0","0","0","5.4","无","2020/08/20 06:30","2020/08/20 06:30"
"1983","20P8180683","20P8180683","2000-01-01","P","cfDNA","2.5","南科手工提取20200506","0.138","25","无","无","无","3.45","0","0","0","0","3.45","无","2020/08/20 06:30","2020/08/20 06:30"
"1984","20P8180684","20P8180684","2000-01-01","P","cfDNA","2.4","南科手工提取20200506","0.075","25","无","无","无","1.875","0","0","0","0","1.875","无","2020/08/20 06:30","2020/08/20 06:30"
"1985","20P8180685","20P8180685","2000-01-01","P","cfDNA","1.6","南科手工提取20200506","0.694","25","无","无","无","17.35","0","0","0","0","17.35","无","2020/08/20 06:30","2020/08/20 06:30"
"1986","20P8180686","20P8180686","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.134","25","无","无","无","3.35","0","0","0","0","3.35","无","2020/08/20 06:30","2020/08/20 06:30"
"1987","20P8180687","20P8180687","2000-01-01","P","cfDNA","2","南科手工提取20200506","0.392","25","无","无","无","9.8","0","0","0","0","9.8","无","2020/08/20 06:30","2020/08/20 06:30"
"1988","20P8180688","20P8180688","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.106","25","无","无","无","2.65","0","0","0","0","2.65","无","2020/08/20 06:30","2020/08/20 06:30"
"1989","20P8180689","20P8180689","2000-01-01","P","cfDNA","2","南科手工提取20200506","0.414","25","无","无","无","10.35","0","0","0","0","10.35","无","2020/08/20 06:30","2020/08/20 06:30"
"1990","20P8180690","20P8180690","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.166","25","无","无","无","4.15","0","0","0","0","4.15","无","2020/08/20 06:30","2020/08/20 06:30"
"1991","20P8180691","20P8180691","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.284","25","无","无","无","7.1","0","0","0","0","7.1","无","2020/08/20 06:30","2020/08/20 06:30"
"1992","20P8180692","20P8180692","2000-01-01","P","cfDNA","1.6","南科手工提取20200506","0.842","25","无","无","无","21.05","0","0","0","0","21.05","无","2020/08/20 06:30","2020/08/20 06:30"
"1993","20P8180693","20P8180693","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.122","25","无","无","无","3.05","0","0","0","0","3.05","无","2020/08/20 06:30","2020/08/20 06:30"
"1994","20P8180694","20P8180694","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.148","25","无","无","无","3.7","0","0","0","0","3.7","无","2020/08/20 06:30","2020/08/20 06:30"
"1995","20P8180695","20P8180695","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.14","25","无","无","无","3.5","0","0","0","0","3.5","无","2020/08/20 06:30","2020/08/20 06:30"
"1996","20P8180696","20P8180696","2000-01-01","P","cfDNA","1.9","南科手工提取20200506","1.61","25","无","无","无","40.25","0","0","0","0","40.25","无","2020/08/20 06:30","2020/08/20 06:30"
"1997","20P8180697","20P8180697","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.218","25","无","无","无","5.45","0","0","0","0","5.45","无","2020/08/20 06:30","2020/08/20 06:30"
"1998","20P8180698","20P8180698","2000-01-01","P","cfDNA","2","南科手工提取20200506","0.366","25","无","无","无","9.15","0","0","0","0","9.15","无","2020/08/20 06:30","2020/08/20 06:30"
"1999","20P8180699","20P8180699","2000-01-01","P","cfDNA","1.4","南科手工提取20200506","0.666","25","无","无","无","16.65","0","0","0","0","16.65","无","2020/08/20 06:30","2020/08/20 06:30"
"2000","20P8180700","20P8180700","2000-01-01","P","cfDNA","2.4","南科手工提取20200506","0.328","25","无","无","无","8.2","0","0","0","0","8.2","无","2020/08/20 06:30","2020/08/20 06:30"
"2001","20P8180701","20P8180701","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.18","25","无","无","无","4.5","0","0","0","0","4.5","无","2020/08/20 06:30","2020/08/20 06:30"
"2002","20P8180702","20P8180702","2000-01-01","P","cfDNA","2","南科手工提取20200506","0.114","25","无","无","无","2.85","0","0","0","0","2.85","无","2020/08/20 06:30","2020/08/20 06:30"
"2003","20P8180703","20P8180703","2000-01-01","P","cfDNA","2","南科手工提取20200506","0.238","25","无","无","无","5.95","0","0","0","0","5.95","无","2020/08/20 06:30","2020/08/20 06:30"
"2004","20P8180704","20P8180704","2000-01-01","P","cfDNA","2","南科手工提取20200506","0.364","25","无","无","无","9.1","0","0","0","0","9.1","无","2020/08/20 06:30","2020/08/20 06:30"
"2005","20P8180705","20P8180705","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.083","25","无","无","无","2.075","0","0","0","0","2.075","无","2020/08/20 06:30","2020/08/20 06:30"
"2006","20P8180706","20P8180706","2000-01-01","P","cfDNA","2.3","南科手工提取20200506","0.122","25","无","无","无","3.05","0","0","0","0","3.05","无","2020/08/20 06:30","2020/08/20 06:30"
"2007","20P8180707","20P8180707","2000-01-01","P","cfDNA","1.8","南科手工提取20200506","0.15","25","无","无","无","3.75","0","0","0","0","3.75","无","2020/08/20 06:30","2020/08/20 06:30"
"2008","20P8180708","20P8180708","2000-01-01","P","cfDNA","1.8","南科手工提取20200506","0.158","25","无","无","无","3.95","0","0","0","0","3.95","无","2020/08/20 06:30","2020/08/20 06:30"
"2009","20P8180709","20P8180709","2000-01-01","P","cfDNA","2","南科手工提取20200506","0.172","25","无","无","无","4.3","0","0","0","0","4.3","无","2020/08/20 06:30","2020/08/20 06:30"
"2010","20P8180710","20P8180710","2000-01-01","P","cfDNA","2.1","南科手工提取20200506","0.136","25","无","无","无","3.4","0","0","0","0","3.4","无","2020/08/20 06:30","2020/08/20 06:30"
"2011","20P8180711","20P8180711","2000-01-01","P","cfDNA","1.6","南科手工提取20200506","0.142","25","无","无","无","3.55","0","0","0","0","3.55","无","2020/08/20 06:30","2020/08/20 06:30"
"2012","20P4425301","20P4425301","2000-01-01","P","cfDNA","3","无","0.462","50","无","无","无","23.1","10","0","0","0","13.1","无","2020/08/20 06:32","2020/08/20 06:30"
"2013","20P4425302","20P4425302","2000-01-01","P","cfDNA","3.9","无","0.608","49","无","无","无","29.792","10","0","0","0","19.792","无","2020/08/20 06:32","2020/08/20 06:30"
"2014","20P4425303","20P4425303","2000-01-01","P","cfDNA","4","无","0.874","49","无","无","无","42.826","10","0","0","0","32.826","无","2020/08/20 06:32","2020/08/20 06:30"
"2015","20P4425304","20P4425304","2000-01-01","P","cfDNA","3","无","0.38","49","无","无","无","18.62","10","0","0","0","8.62","无","2020/08/20 06:32","2020/08/20 06:30"
"2016","20P4425305","20P4425305","2000-01-01","P","cfDNA","4","无","0.53","47","无","无","无","24.91","10","0","0","0","14.91","无","2020/08/20 06:32","2020/08/20 06:30"
"2017","20P4425306","20P4425306","2000-01-01","P","cfDNA","3.9","无","1.13","44","无","无","无","49.72","10","0","0","0","39.72","无","2020/08/20 06:32","2020/08/20 06:30"
"2018","20P4425307","20P4425307","2000-01-01","P","cfDNA","2.9","无","0.308","48","无","无","无","14.784","10","0","0","0","4.784","无","2020/08/20 06:32","2020/08/20 06:30"
"2019","20P4425308","20P4425308","2000-01-01","P","cfDNA","3.5","无","0.826","48","无","无","无","39.648","10","0","0","0","29.648","无","2020/08/20 06:32","2020/08/20 06:30"
"2020","20P4425309","20P4425309","2000-01-01","P","cfDNA","2.5","无","0.376","50","无","无","无","18.8","10","0","0","0","8.8","无","2020/08/20 06:32","2020/08/20 06:30"
"2021","20P4425310","20P4425310","2000-01-01","P","cfDNA","3.1","无","0.794","50","无","无","无","39.7","10","0","0","0","29.7","无","2020/08/20 06:32","2020/08/20 06:30"
"2022","20P4425311","20P4425311","2000-01-01","P","cfDNA","3.4","无","0.738","48","无","无","无","35.424","10","0","0","0","25.424","无","2020/08/20 06:32","2020/08/20 06:30"
"2023","20P4425312","20P4425312","2000-01-01","P","cfDNA","3","无","0.728","48","无","无","无","34.944","10","0","0","0","24.944","无","2020/08/20 06:32","2020/08/20 06:30"
"2024","20P4425313","20P4425313","2000-01-01","P","cfDNA","3.7","无","0.48","50","无","无","无","24","10","0","0","0","14","无","2020/08/20 06:32","2020/08/20 06:30"
"2025","20P4425314","20P4425314","2000-01-01","P","cfDNA","3.4","无","0.438","50","无","无","无","21.9","10","0","0","0","11.9","无","2020/08/20 06:32","2020/08/20 06:30"
"2026","20P4425315","20P4425315","2000-01-01","P","cfDNA","3","无","0.286","48","无","无","无","13.728","10","0","0","0","3.728","无","2020/08/20 06:32","2020/08/20 06:30"
"2027","20P4425316","20P4425316","2000-01-01","P","cfDNA","3.5","无","0.318","48","无","无","无","15.264","10","0","0","0","5.264","无","2020/08/20 06:32","2020/08/20 06:30"
"2028","20P4425317","20P4425317","2000-01-01","P","cfDNA","3.3","无","0.98","48","无","无","无","47.04","10","0","0","0","37.04","无","2020/08/20 06:32","2020/08/20 06:30"
"2029","20P4425318","20P4425318","2000-01-01","P","cfDNA","3.5","无","0.662","50","无","无","无","33.1","10","0","0","0","23.1","无","2020/08/20 06:32","2020/08/20 06:30"
"2030","20P4425319","20P4425319","2000-01-01","P","cfDNA","3.5","无","0.53","50","无","无","无","26.5","10","0","0","0","16.5","无","2020/08/20 06:32","2020/08/20 06:30"
"2031","20P4425320","20P4425320","2000-01-01","P","cfDNA","4","无","0.466","48","无","无","无","22.368","10","0","0","0","12.368","无","2020/08/20 06:32","2020/08/20 06:30"
"2032","19P6938566","19P6938566","2000-01-01","P","cfDNA","2.8","无","0.694","45","无","无","无","31.23","0","0","0","0","31.23","无","2020/08/20 06:30","2020/08/20 06:30"
"2033","19P6938567","19P6938567","2000-01-01","P","cfDNA","3.9","无","0.676","48","无","无","无","32.448","0","0","0","0","32.448","无","2020/08/20 06:30","2020/08/20 06:30"
"2034","19P6938568","19P6938568","2000-01-01","P","cfDNA","3.2","无","0.49","48","无","无","无","23.52","0","0","0","0","23.52","无","2020/08/20 06:30","2020/08/20 06:30"
"2035","19P6938569","19P6938569","2000-01-01","P","cfDNA","4","无","1.13","48","无","无","无","54.24","0","0","0","0","54.24","无","2020/08/20 06:30","2020/08/20 06:30"
"2036","19P6938570","19P6938570","2000-01-01","P","cfDNA","3.3","无","0.56","48","无","无","无","26.88","0","0","0","0","26.88","无","2020/08/20 06:30","2020/08/20 06:30"
"2037","19P6938571","19P6938571","2000-01-01","P","cfDNA","2.8","无","2.76","45","无","无","无","124.2","0","0","0","0","124.2","无","2020/08/20 06:30","2020/08/20 06:30"
"2038","20P2947088","20P2947088","2000-01-01","P","cfDNA","3","无","0.374","45","无","无","无","16.83","0","0","0","0","16.83","无","2020/08/20 06:30","2020/08/20 06:30"
"2039","20P2947089","20P2947089","2000-01-01","P","cfDNA","3.8","无","3.6","48","无","无","无","172.8","0","0","0","0","172.8","无","2020/08/20 06:30","2020/08/20 06:30"
"2040","20P2947090","20P2947090","2000-01-01","P","cfDNA","3.5","无","2.38","48","无","无","无","114.24","0","0","0","0","114.24","无","2020/08/20 06:30","2020/08/20 06:30"
"2041","20P2947091","20P2947091","2000-01-01","P","cfDNA","3.6","无","1.32","48","无","无","无","63.36","0","0","0","0","63.36","无","2020/08/20 06:30","2020/08/20 06:30"
"2042","20P2947092","20P2947092","2000-01-01","P","cfDNA","3.8","无","0.606","48","无","无","无","29.088","0","0","0","0","29.088","无","2020/08/20 06:30","2020/08/20 06:30"
"2043","20P2947093","20P2947093","2000-01-01","P","cfDNA","3.6","无","0.946","48","无","无","无","45.408","0","0","0","0","45.408","无","2020/08/20 06:30","2020/08/20 06:30"
"2044","20P2947094","20P2947094","2000-01-01","P","cfDNA","3.9","无","2.68","48","无","无","无","128.64","0","0","0","0","128.64","无","2020/08/20 06:30","2020/08/20 06:30"
"2045","20P2947095","20P2947095","2000-01-01","P","cfDNA","3.4","无","1.15","48","无","无","无","55.2","0","0","0","0","55.2","无","2020/08/20 06:30","2020/08/20 06:30"
"2046","20P2947096","20P2947096","2000-01-01","P","cfDNA","3","无","2.98","43","无","无","无","128.14","0","0","0","0","128.14","无","2020/08/20 06:30","2020/08/20 06:30"
"2047","20P2947097","20P2947097","2000-01-01","P","cfDNA","4","无","3.28","48","无","无","无","157.44","0","0","0","0","157.44","无","2020/08/20 06:30","2020/08/20 06:30"
"2048","20P2947098","20P2947098","2000-01-01","P","cfDNA","3.4","无","3.5","48","无","无","无","168","0","0","0","0","168","无","2020/08/20 06:30","2020/08/20 06:30"
"2049","20P2947099","20P2947099","2000-01-01","P","cfDNA","4","无","6.86","48","无","无","无","329.28","0","0","0","0","329.28","无","2020/08/20 06:30","2020/08/20 06:30"
"2050","19P5803550","19P5803550","2000-01-01","P","cfDNA","4","美基XP双选法","8.08","43","无","无","无","347.44","10","0","0","0","337.44","无","2020/08/20 06:31","2020/08/20 06:30"
"2051","19P5803551","19P5803551","2000-01-01","P","cfDNA","4","美基XP双选法","3.02","43","无","无","无","129.86","10","0","0","0","119.86","无","2020/08/20 06:31","2020/08/20 06:30"
"2052","19P5803552","19P5803552","2000-01-01","P","cfDNA","4","美基XP双选法","1.49","43","无","无","无","64.07","10","0","0","0","54.07","无","2020/08/20 06:31","2020/08/20 06:30"
"2053","19P5803553","19P5803553","2000-01-01","P","cfDNA","4","美基XP双选法","11.9","43","无","无","无","511.7","10","0","0","0","501.7","无","2020/08/20 06:31","2020/08/20 06:30"
"2054","19P5803554","19P5803554","2000-01-01","P","cfDNA","4","美基XP双选法","21","43","无","无","无","903","10","0","0","0","893","无","2020/08/20 06:31","2020/08/20 06:30"
"2055","19P5803555","19P5803555","2000-01-01","P","cfDNA","4","美基XP双选法","27.4","43","无","无","无","1178.2","10","0","0","0","1168.2","无","2020/08/20 06:31","2020/08/20 06:30"
"2056","19P5803556","19P5803556","2000-01-01","P","cfDNA","4","美基XP双选法","1.28","43","无","无","无","55.04","10","0","0","0","45.04","无","2020/08/20 06:31","2020/08/20 06:30"
"2057","19P5803557","19P5803557","2000-01-01","P","cfDNA","4","美基XP双选法","2.04","43","无","无","无","87.72","10","0","0","0","77.72","无","2020/08/20 06:31","2020/08/20 06:30"
"2058","19P5803558","19P5803558","2000-01-01","P","cfDNA","4","美基XP双选法","1.52","43","无","无","无","65.36","10","0","0","0","55.36","无","2020/08/20 06:31","2020/08/20 06:30"
"2059","19P5803559","19P5803559","2000-01-01","P","cfDNA","4","美基XP双选法","1.83","43","无","无","无","78.69","10","0","0","0","68.69","无","2020/08/20 06:31","2020/08/20 06:30"
"2060","19P5803560","19P5803560","2000-01-01","P","cfDNA","4","美基XP双选法","7.66","43","无","无","无","329.38","10","0","0","0","319.38","无","2020/08/20 06:31","2020/08/20 06:30"
"2061","19P5803561","19P5803561","2000-01-01","P","cfDNA","4","美基XP双选法","1.23","43","无","无","无","52.89","10","0","0","0","42.89","无","2020/08/20 06:31","2020/08/20 06:30"
"2062","19P5803562","19P5803562","2000-01-01","P","cfDNA","4","美基XP双选法","4.48","43","无","无","无","192.64","10","0","0","0","182.64","无","2020/08/20 06:31","2020/08/20 06:30"
"2063","19P5803563","19P5803563","2000-01-01","P","cfDNA","3","美基XP双选法","7.74","43","无","无","无","332.82","10","0","0","0","322.82","无","2020/08/20 06:31","2020/08/20 06:30"
"2064","19P5803564","19P5803564","2000-01-01","P","cfDNA","4","美基XP双选法","6.26","43","无","无","无","269.18","10","0","0","0","259.18","无","2020/08/20 06:31","2020/08/20 06:30"
"2065","19P5803565","19P5803565","2000-01-01","P","cfDNA","3","美基XP双选法","5.68","43","无","无","无","244.24","10","0","0","0","234.24","无","2020/08/20 06:31","2020/08/20 06:30"
"2066","19P5803566","19P5803566","2000-01-01","P","cfDNA","4","美基XP双选法","3.42","43","无","无","无","147.06","10","0","0","0","137.06","无","2020/08/20 06:31","2020/08/20 06:30"
"2067","19P5803567","19P5803567","2000-01-01","P","cfDNA","4","美基XP双选法","11.3","43","无","无","无","485.9","10","0","0","0","475.9","无","2020/08/20 06:31","2020/08/20 06:30"
"2068","19P5803568","19P5803568","2000-01-01","P","cfDNA","4","美基XP双选法","6.9","43","无","无","无","296.7","10","0","0","0","286.7","无","2020/08/20 06:31","2020/08/20 06:30"
"2069","19P5803569","19P5803569","2000-01-01","P","cfDNA","4","美基XP双选法","0.864","43","无","无","无","37.152","10","0","0","0","27.152","无","2020/08/20 06:31","2020/08/20 06:30"
"2070","19P5803570","19P5803570","2000-01-01","P","cfDNA","4","美基XP双选法","1.21","43","无","无","无","52.03","10","0","0","0","42.03","无","2020/08/20 06:31","2020/08/20 06:30"
"2071","19P5803571","19P5803571","2000-01-01","P","cfDNA","4","美基XP双选法","0.816","43","无","无","无","35.088","10","0","0","0","25.088","无","2020/08/20 06:31","2020/08/20 06:30"
"2072","19P5803572","19P5803572","2000-01-01","P","cfDNA","4","美基XP双选法","1.12","43","无","无","无","48.16","10","0","0","0","38.16","无","2020/08/20 06:31","2020/08/20 06:30"
"2073","19P5803573","19P5803573","2000-01-01","P","cfDNA","4","美基XP双选法","1.65","43","无","无","无","70.95","10","0","0","0","60.95","无","2020/08/20 06:31","2020/08/20 06:30"
"2074","19P5803574","19P5803574","2000-01-01","P","cfDNA","4","美基XP双选法","2","43","无","无","无","86","10","0","0","0","76","无","2020/08/20 06:31","2020/08/20 06:30"
"2075","19P5803575","19P5803575","2000-01-01","P","cfDNA","4","美基XP双选法","23","43","无","无","无","989","10","0","0","0","979","无","2020/08/20 06:31","2020/08/20 06:30"
"2076","19P5803576","19P5803576","2000-01-01","P","cfDNA","4","美基XP双选法","2.74","43","无","无","无","117.82","10","0","0","0","107.82","无","2020/08/20 06:31","2020/08/20 06:30"
"2077","19P5803577","19P5803577","2000-01-01","P","cfDNA","4","美基XP双选法","3.22","43","无","无","无","138.46","10","0","0","0","128.46","无","2020/08/20 06:31","2020/08/20 06:30"
"2078","19P5803578","19P5803578","2000-01-01","P","cfDNA","4","美基XP双选法","2","43","无","无","无","86","10","0","0","0","76","无","2020/08/20 06:31","2020/08/20 06:30"
"2079","19P5803579","19P5803579","2000-01-01","P","cfDNA","4","美基XP双选法","1.22","43","无","无","无","52.46","10","0","0","0","42.46","无","2020/08/20 06:31","2020/08/20 06:30"
"2080","19P5803580","19P5803580","2000-01-01","P","cfDNA","4","美基XP双选法","5.58","43","无","无","无","239.94","10","0","0","0","229.94","无","2020/08/20 06:31","2020/08/20 06:30"
"2081","19P5803581","19P5803581","2000-01-01","P","cfDNA","4","美基XP双选法","0.714","43","无","无","无","30.702","10","0","0","0","20.702","无","2020/08/20 06:31","2020/08/20 06:30"
"2082","19P5803582","19P5803582","2000-01-01","P","cfDNA","4","美基XP双选法","1.45","43","无","无","无","62.35","10","0","0","0","52.35","无","2020/08/20 06:31","2020/08/20 06:30"
"2083","19P5803583","19P5803583","2000-01-01","P","cfDNA","4","美基XP双选法","0.45","43","无","无","无","19.35","10","0","0","0","9.35","无","2020/08/20 06:31","2020/08/20 06:30"
"2084","19P5803584","19P5803584","2000-01-01","P","cfDNA","4","美基XP双选法","0.868","43","无","无","无","37.324","10","0","0","0","27.324","无","2020/08/20 06:31","2020/08/20 06:30"
"2085","19P5803585","19P5803585","2000-01-01","P","cfDNA","4","美基XP双选法","3.9","43","无","无","无","167.7","10","0","0","0","157.7","无","2020/08/20 06:31","2020/08/20 06:30"
"2086","19P5803586","19P5803586","2000-01-01","P","cfDNA","4","美基XP双选法","1.4","43","无","无","无","60.2","10","0","0","0","50.2","无","2020/08/20 06:31","2020/08/20 06:30"
"2087","19P5803587","19P5803587","2000-01-01","P","cfDNA","4","美基XP双选法","3.3","43","无","无","无","141.9","10","0","0","0","131.9","无","2020/08/20 06:31","2020/08/20 06:30"
"2088","19P5803588","19P5803588","2000-01-01","P","cfDNA","3","美基XP双选法","4.2","43","无","无","无","180.6","10","0","0","0","170.6","无","2020/08/20 06:31","2020/08/20 06:30"
"2089","19P5803589","19P5803589","2000-01-01","P","cfDNA","4","美基XP双选法","2.28","43","无","无","无","98.04","10","0","0","0","88.04","无","2020/08/20 06:31","2020/08/20 06:30"
"2090","19P5803590","19P5803590","2000-01-01","P","cfDNA","4","美基XP双选法","0.918","43","无","无","无","39.474","10","0","0","0","29.474","无","2020/08/20 06:31","2020/08/20 06:30"
"2091","19P5803591","19P5803591","2000-01-01","P","cfDNA","4","美基XP双选法","0.588","43","无","无","无","25.284","10","0","0","0","15.284","无","2020/08/20 06:31","2020/08/20 06:30"
"2092","19P5803592","19P5803592","2000-01-01","P","cfDNA","4","美基XP双选法","0.582","43","无","无","无","25.026","10","0","0","0","15.026","无","2020/08/20 06:31","2020/08/20 06:30"
"2093","19P5803593","19P5803593","2000-01-01","P","cfDNA","4","美基XP双选法","0.92","43","无","无","无","39.56","10","0","0","0","29.56","无","2020/08/20 06:31","2020/08/20 06:30"
"2094","19P5803594","19P5803594","2000-01-01","P","cfDNA","4","美基XP双选法","1.8","43","无","无","无","77.4","10","0","0","0","67.4","无","2020/08/20 06:31","2020/08/20 06:30"
"2095","19P5803595","19P5803595","2000-01-01","P","cfDNA","4","美基XP双选法","0.846","43","无","无","无","36.378","10","0","0","0","26.378","无","2020/08/20 06:31","2020/08/20 06:30"
"2096","19P5803596","19P5803596","2000-01-01","P","cfDNA","4","美基XP双选法","0.734","43","无","无","无","31.562","10","0","0","0","21.562","无","2020/08/20 06:31","2020/08/20 06:30"
"2097","19P5803597","19P5803597","2000-01-01","P","cfDNA","3","美基XP双选法","1.24","43","无","无","无","53.32","10","0","0","0","43.32","无","2020/08/20 06:31","2020/08/20 06:30"
